,speaker_path,listener_path
0,UDIVA/talk/023102/FC1/8,UDIVA/talk/023102/FC2/8
1,UDIVA/talk/023102/FC1/9,UDIVA/talk/023102/FC2/9
2,UDIVA/talk/023102/FC1/10,UDIVA/talk/023102/FC2/10
3,UDIVA/talk/023102/FC1/14,UDIVA/talk/023102/FC2/14
4,UDIVA/talk/023191/FC1/19,UDIVA/talk/023191/FC2/19
5,UDIVA/animal/023102/FC1/2,UDIVA/animal/023102/FC2/2
6,UDIVA/animal/023102/FC1/3,UDIVA/animal/023102/FC2/3
7,UDIVA/animal/023191/FC1/7,UDIVA/animal/023191/FC2/7
8,UDIVA/animal/023191/FC1/8,UDIVA/animal/023191/FC2/8
9,UDIVA/animal/023191/FC1/9,UDIVA/animal/023191/FC2/9
10,UDIVA/animal/023191/FC1/18,UDIVA/animal/023191/FC2/18
11,UDIVA/animal/023191/FC1/21,UDIVA/animal/023191/FC2/21
12,UDIVA/animal/023191/FC1/22,UDIVA/animal/023191/FC2/22
13,UDIVA/animal/023191/FC1/30,UDIVA/animal/023191/FC2/30
14,UDIVA/animal/023191/FC1/33,UDIVA/animal/023191/FC2/33
15,UDIVA/talk/102173/FC1/10,UDIVA/talk/102173/FC2/10
16,UDIVA/talk/102176/FC1/1,UDIVA/talk/102176/FC2/1
17,UDIVA/talk/102176/FC1/2,UDIVA/talk/102176/FC2/2
18,UDIVA/talk/102176/FC1/3,UDIVA/talk/102176/FC2/3
19,UDIVA/talk/102176/FC1/6,UDIVA/talk/102176/FC2/6
20,UDIVA/talk/102176/FC1/7,UDIVA/talk/102176/FC2/7
21,UDIVA/talk/102176/FC1/8,UDIVA/talk/102176/FC2/8
22,UDIVA/talk/102176/FC1/9,UDIVA/talk/102176/FC2/9
23,UDIVA/talk/102176/FC1/10,UDIVA/talk/102176/FC2/10
24,UDIVA/talk/102176/FC1/11,UDIVA/talk/102176/FC2/11
25,UDIVA/talk/102176/FC1/17,UDIVA/talk/102176/FC2/17
26,UDIVA/talk/102176/FC1/18,UDIVA/talk/102176/FC2/18
27,UDIVA/talk/102176/FC1/19,UDIVA/talk/102176/FC2/19
28,UDIVA/animal/102176/FC1/32,UDIVA/animal/102176/FC2/32
29,UDIVA/animal/102176/FC1/40,UDIVA/animal/102176/FC2/40
30,UDIVA/talk/173179/FC1/10,UDIVA/talk/173179/FC2/10
31,UDIVA/talk/106173/FC1/1,UDIVA/talk/106173/FC2/1
32,UDIVA/talk/106173/FC1/2,UDIVA/talk/106173/FC2/2
33,UDIVA/talk/106173/FC1/3,UDIVA/talk/106173/FC2/3
34,UDIVA/talk/106173/FC1/4,UDIVA/talk/106173/FC2/4
35,UDIVA/talk/106173/FC1/19,UDIVA/talk/106173/FC2/19
36,UDIVA/ghost/106173/FC1/3,UDIVA/ghost/106173/FC2/3
37,UDIVA/ghost/106173/FC1/4,UDIVA/ghost/106173/FC2/4
38,UDIVA/animal/173176/FC1/20,UDIVA/animal/173176/FC2/20
39,UDIVA/animal/106173/FC1/13,UDIVA/animal/106173/FC2/13
40,UDIVA/talk/144176/FC1/1,UDIVA/talk/144176/FC2/1
41,UDIVA/talk/144176/FC1/2,UDIVA/talk/144176/FC2/2
42,UDIVA/talk/144176/FC1/3,UDIVA/talk/144176/FC2/3
43,UDIVA/talk/144176/FC1/4,UDIVA/talk/144176/FC2/4
44,UDIVA/talk/144176/FC1/5,UDIVA/talk/144176/FC2/5
45,UDIVA/talk/144176/FC1/6,UDIVA/talk/144176/FC2/6
46,UDIVA/talk/144176/FC1/7,UDIVA/talk/144176/FC2/7
47,UDIVA/talk/144176/FC1/8,UDIVA/talk/144176/FC2/8
48,UDIVA/talk/144176/FC1/9,UDIVA/talk/144176/FC2/9
49,UDIVA/talk/144176/FC1/10,UDIVA/talk/144176/FC2/10
50,UDIVA/talk/144176/FC1/11,UDIVA/talk/144176/FC2/11
51,UDIVA/talk/144176/FC1/12,UDIVA/talk/144176/FC2/12
52,UDIVA/talk/144176/FC1/13,UDIVA/talk/144176/FC2/13
53,UDIVA/talk/144176/FC1/14,UDIVA/talk/144176/FC2/14
54,UDIVA/talk/144176/FC1/18,UDIVA/talk/144176/FC2/18
55,UDIVA/talk/144176/FC1/19,UDIVA/talk/144176/FC2/19
56,UDIVA/talk/144176/FC1/20,UDIVA/talk/144176/FC2/20
57,UDIVA/talk/144176/FC1/23,UDIVA/talk/144176/FC2/23
58,UDIVA/talk/144176/FC1/24,UDIVA/talk/144176/FC2/24
59,UDIVA/animal/144176/FC1/1,UDIVA/animal/144176/FC2/1
60,UDIVA/animal/144176/FC1/2,UDIVA/animal/144176/FC2/2
61,UDIVA/animal/144176/FC1/3,UDIVA/animal/144176/FC2/3
62,UDIVA/animal/144176/FC1/4,UDIVA/animal/144176/FC2/4
63,UDIVA/animal/144176/FC1/5,UDIVA/animal/144176/FC2/5
64,UDIVA/animal/144176/FC1/6,UDIVA/animal/144176/FC2/6
65,UDIVA/animal/144176/FC1/7,UDIVA/animal/144176/FC2/7
66,UDIVA/animal/144176/FC1/8,UDIVA/animal/144176/FC2/8
67,UDIVA/animal/144176/FC1/9,UDIVA/animal/144176/FC2/9
68,UDIVA/animal/144176/FC1/10,UDIVA/animal/144176/FC2/10
69,UDIVA/animal/144176/FC1/13,UDIVA/animal/144176/FC2/13
70,UDIVA/animal/144176/FC1/14,UDIVA/animal/144176/FC2/14
71,UDIVA/animal/144176/FC1/15,UDIVA/animal/144176/FC2/15
72,UDIVA/animal/144176/FC1/18,UDIVA/animal/144176/FC2/18
73,UDIVA/animal/144176/FC1/19,UDIVA/animal/144176/FC2/19
74,UDIVA/animal/144176/FC1/20,UDIVA/animal/144176/FC2/20
75,UDIVA/animal/144176/FC1/21,UDIVA/animal/144176/FC2/21
76,UDIVA/animal/144176/FC1/22,UDIVA/animal/144176/FC2/22
77,UDIVA/animal/144176/FC1/23,UDIVA/animal/144176/FC2/23
